steps,time,reward,delta,converged
1,0.0048799999999999955,-0.9064476432872863,0.7159981930181263,False
2,0.008272000000001611,0.3120579412282197,0.002742627732186675,False
3,0.007740999999999332,0.312739657853326,0.0003842541145917871,False
4,0.008983999999998105,0.3129140588992325,1.8493331852102723e-06,False
5,0.007805999999998647,0.31291408681024124,4.4428703488939847e-07,False
6,0.005005000000000592,0.3129140859145866,4.4428703489026583e-07,False
7,0.0066680000000012285,0.31291408681024124,4.4428703488939847e-07,False
8,0.00478299999999976,0.3129140859145866,4.4428703489026583e-07,False
9,0.004563999999998458,0.31291408681024124,4.4428703488939847e-07,False
10,0.006492999999998972,0.3129140859145866,4.4428703489026583e-07,False
11,0.004698000000001201,0.31291408681024124,4.4428703488939847e-07,False
12,0.004771000000001635,0.3129140859145866,4.4428703489026583e-07,True
