steps,time,reward,delta,converged
1,0.00025699999991957156,-0.5025,0.3,False
2,0.0005220000000463187,-0.129375,0.3,False
3,0.00014299999998002022,-0.5025,0.3,False
4,0.000665000000026339,-0.1045,0.2991405,False
5,0.0001979999999548454,-0.33666666666666667,0.20939835,False
6,0.0004840000001422595,-0.129375,0.14657884499999999,False
7,0.00013600000011138036,-0.5025,0.3,False
8,0.00019300000008115603,-0.33666666666666667,0.21,False
9,0.0001940000001923181,-0.33666666666666667,0.10260519150000001,False
10,0.000862000000097396,-0.07607142857142857,0.3,False
11,0.0011810000000878063,-0.05475,0.3,False
12,0.00025600000003578316,-0.25375,0.3,False
13,0.0006989999999404972,-0.09545454545454546,0.147,False
14,0.0023830000000089058,-0.04326923076923077,0.21,False
15,0.0005380000000059226,-0.5025,0.29824770791415,False
16,0.0029299999998784187,-0.09545454545454546,0.21,False
17,0.0011759999999867432,-0.05238095238095238,0.27604407233519657,False
18,0.00018800000020746666,-0.33666666666666667,0.07182363405,False
19,0.0003000000001520675,-0.20400000000000001,0.1609721053359178,False
20,0.001115999999910855,-0.05475,0.19226950499999998,False
21,0.0006280000000060681,-0.09545454545454546,0.11268047373514245,False
22,0.0005129999999553547,-0.11555555555555556,0.29870898149999997,False
23,0.0010580000000572909,-0.05736842105263158,0.07887633161459973,False
24,0.00040199999989454227,-0.14714285714285716,0.3,False
25,0.0008900000000267028,-0.0671875,0.3,False
26,0.00012799999990420474,-0.5025,0.050276543835,False
27,0.0006680000001324515,-0.09545454545454546,0.035193580684499993,False
28,0.00148799999988114,-0.041851851851851855,0.05521343213021981,False
29,0.0005220000000463187,-0.14714285714285716,0.024635506479150002,False
30,0.0007889999999406427,-0.07607142857142857,0.1345886535,False
31,0.001209000000017113,-0.07607142857142857,0.017244854535404995,False
32,0.001130000000102882,-0.1045,0.2671822867964424,False
33,0.001426000000037675,-0.33666666666666667,0.29955,False
34,0.0008629999999811844,-0.1045,0.29885385,False
35,0.0014590000000680448,-0.08791666666666666,0.28567499291707904,False
36,0.0006989999999404972,-0.09545454545454546,0.09421205744999998,False
37,0.0006939999998394342,-0.09545454545454546,0.065948440215,False
38,0.0021570000001247536,-0.03609375,0.0461639081505,False
39,0.00020100000006095797,-0.33666666666666667,0.038649402491153874,False
40,0.00029599999993479287,-0.25375,0.027054581743807704,False
41,0.0018999999999778083,-0.06352941176470589,0.032314735705350005,False
42,0.0028540000000703003,-0.07607142857142857,0.012071398174783487,False
43,0.0017529999997805135,-0.03931034482758621,0.2968372513657043,False
44,0.00016299999992952507,-0.5025,0.01893820722066539,False
45,0.0002689999998892745,-0.25375,0.013256745054465767,False
46,0.0004220000000714208,-0.20400000000000001,0.00927972153812605,False
47,0.00201599999991231,-0.11555555555555556,0.3,False
48,0.0004359999998087005,-0.14714285714285716,0.147,False
49,0.0007389999998395069,-0.1045,0.0064958050766882325,False
50,0.0008130000001074222,-0.07607142857142857,0.022620314993744995,False
51,0.0019369999999980791,-0.03342857142857143,0.09478792974891152,False
52,0.0012019999999210995,-0.05736842105263158,0.3,False
53,0.00024499999994986865,-0.25375,0.299235,False
54,0.002388000000109969,-0.028690476190476193,0.09263844448757726,False
55,0.0001869999998689309,-0.33666666666666667,0.06484691114130406,False
56,0.0006220000000212167,-0.09545454545454546,0.20968499999999998,False
57,0.0009489999999914289,-0.06352941176470589,0.04539283779891285,False
58,0.00046799999995528196,-0.1708333333333333,0.2911213321868428,False
59,0.00040199999989454227,-0.14714285714285716,0.20378493253078994,False
60,0.00215699999989738,-0.03816666666666667,0.2792818888380392,False
61,0.0007949999999254942,-0.07607142857142857,0.2253891440833014,False
62,0.00041100000021287997,-0.14714285714285716,0.11079441481875889,False
63,0.0005120000000715663,-0.11555555555555556,0.1467795,False
64,0.0008940000000166037,-0.0671875,0.06635155082423808,False
65,0.00034899999991466757,-0.1708333333333333,0.10274565,False
66,0.0021410000001651497,-0.030512820512820518,0.3,False
67,0.0033310000001165463,-0.02131147540983607,0.24798776171185252,False
68,0.0002380000000812288,-0.25375,0.07755609037313123,False
69,0.0011179999999058055,-0.06027777777777778,0.071921955,False
70,0.0020280000001093867,-0.03263888888888889,0.04644608557696667,False
71,0.0006739999998899293,-0.08791666666666666,0.3,False
72,0.0008049999999002466,-0.08791666666666666,0.05428926326119186,False
73,0.0032929999999851134,-0.021583333333333336,0.11126825765487296,False
74,0.0007100000000264117,-0.1045,0.2681445,False
75,0.0010769999998956337,-0.05736842105263158,0.11510869270610247,False
76,0.00018800000020746666,-0.33666666666666667,0.07788778035841108,False
77,0.0007299999999759166,-0.08153846153846155,0.05452144625088777,False
78,0.00024000000007617928,-0.25375,0.29371156903979845,False
79,0.0010089999998399435,-0.06027777777777778,0.08057608489427173,False
80,0.0007849999999507418,-0.07607142857142857,0.056403259425990226,False
81,0.0058819999999286665,-0.014212962962962967,0.039482281598193156,False
82,0.0007259999999860156,0.07230769230769231,0.3,False
83,0.000210000000151922,-0.33666666666666667,0.10784881908366173,False
84,0.0006399999999757711,-0.09545454545454546,0.038165012375621456,False
85,0.008246999999983018,-0.01195804195804196,0.0754941733585632,False
86,0.0005169999999452557,-0.11555555555555556,0.05284592135099424,False
87,0.0038140000001476437,-0.019420289855072468,0.03699214494569598,False
88,0.003629999999930078,-0.02007575757575758,0.10720189062957035,False
89,0.00018299999987902993,-0.33666666666666667,0.07504132344069926,False
90,0.001090999999860287,-0.05736842105263158,0.29902804499999996,False
91,0.001964999999927386,-0.035151515151515156,0.05252892640848948,False
92,0.0005190000001675799,-0.11555555555555556,0.025894501461987175,False
93,0.0007860000000619038,-0.07607142857142857,0.018126151023391036,False
94,0.004353000000037355,-0.0174375,0.2941052605238113,False
95,0.0023810000000139553,-0.028139534883720934,0.012688305716373737,False
96,0.0018640000000686996,-0.03426470588235294,0.00888181400146163,False
97,0.0007259999999860156,-0.08153846153846155,0.006217269801023151,False
98,0.0012740000001940643,-0.0482608695652174,0.004352088860716218,False
99,0.004226000000016938,0.008399999999999998,0.23745,False
100,0.003977000000077169,-0.019014084507042256,0.2651599832020997,False
101,0.007972000000108892,0.001979166666666663,0.166215,False
102,0.0003540000000157306,-0.1708333333333333,0.09073748970905675,False
103,0.00029700000004595495,-0.20400000000000001,0.06351624279633973,False
104,0.0017040000000179134,-0.03816666666666667,0.044461369957437824,False
105,0.002908999999817752,-0.024134615384615386,0.29010490027327124,False
106,0.009605999999848791,-0.010718390804597706,0.03112295897020649,False
107,0.0011050000000523141,0.04525,0.11635050000000001,False
108,0.0026500000001306034,-0.027111111111111117,0.03677024848594263,False
109,0.003974999999854845,0.009565217391304346,0.08144535,False
110,0.006237999999939348,-0.013577586206896555,0.2949653289155933,False
111,0.00018299999987902993,-0.33666666666666667,0.2030734301912899,False
