episode,length,time,reward,delta
0,15.0,0.0017179999999825668,-1.075,-1.0
1,11.0,0.0009089999998650455,-1.055,-1.0
2,50.0,0.0033799999996517727,-1.25,-1.0
3,52.0,0.003614000000197848,-1.2600000000000002,-1.0
4,6.0,0.0006170000001475273,-1.03,-1.0
5,43.0,0.0033450000000811997,-1.215,-0.9995
6,11.0,0.00071799999977884,-1.055,-1.0
7,24.0,0.001576999999997497,-1.12,-1.0
8,23.0,0.0015579999999317806,-1.115,-1.0
9,34.0,0.0022349999999278225,-1.1700000000000002,-1.0
10,49.0,0.0030719999999746506,-1.245,-1.0
11,22.0,0.002195000000028813,-1.11,-0.9
12,11.0,0.001033000000006723,-1.055,-0.9985903865
13,28.0,0.0021240000000943837,-1.1400000000000001,-0.89955
14,26.0,0.0015699999999014835,-1.1300000000000001,-0.9995
15,47.0,0.003214000000298256,-1.235,-1.0
16,33.0,0.0024899999998524436,-1.165,-1.0
17,16.0,0.0018039999999928114,-1.08,-0.809595
18,53.0,0.0036239999999452266,-1.2650000000000001,-1.0
19,19.0,0.001772999999957392,-1.095,-0.998540479483514
20,81.0,0.006452000000081171,-1.4050000000000002,-1.0
21,36.0,0.00367099999994025,-1.1800000000000002,-1.0
22,12.0,0.001528000000234897,-1.06,-1.0
23,80.0,0.005315999999766063,-1.4000000000000004,-1.0
24,22.0,0.0014970000001994777,-1.11,-0.999485
25,17.0,0.0012759999999616412,-1.085,-0.9969311262989707
26,104.0,0.007106000000021595,-1.5200000000000005,-1.0
27,11.0,0.0012389999997139967,-1.055,-0.998113902255665
28,40.0,0.0025649999997767736,-1.2000000000000002,-0.9971746084336038
29,28.0,0.0019660000002659217,-1.1400000000000001,-0.9
30,50.0,0.0031879999996817787,-1.25,-0.998238095
31,98.0,0.0069330000001173175,-1.4900000000000002,-0.9978735365
32,98.0,0.00787499999978536,-1.4900000000000002,-0.9
33,49.0,0.00454200000012861,-1.245,-1.0
34,80.0,0.00507000000015978,-1.4000000000000004,-1.0
35,43.0,0.002590000000054715,-1.215,-0.9973831965196098
36,78.0,0.0046950000000833825,-1.3900000000000001,-1.0
37,15.0,0.000931999999920663,-1.075,-0.9
38,47.0,0.00406299999986004,0.7649999999999999,1.0
39,47.0,0.0035009999996873375,-1.235,-0.9
40,133.0,0.010241999999834661,-1.6650000000000005,-1.0
41,97.0,0.006864999999834254,-1.4850000000000003,-1.0
42,62.0,0.004136999999900581,-1.31,-0.9981093829933633
43,28.0,0.002410000000054424,-1.1400000000000001,-0.994719969232073
44,86.0,0.005054000000200176,-1.4300000000000002,-0.89955
45,44.0,0.0025439999999434804,-1.2200000000000002,-1.0
46,50.0,0.0028599999996004044,-1.25,-0.9963646930873026
