steps,time,reward,delta,converged
1,0.001005000000006362,250.5,100.0,False
2,0.0011290000000059308,481.25,50.0,False
3,0.0009179999999986421,685.0,25.0,False
4,0.0004950000000008004,831.0625,12.5,False
5,0.0004950000000008004,926.1875,6.25,False
6,0.0004950000000008004,984.796875,3.125,False
7,0.0005400000000008731,1019.625,1.5625,False
8,0.00047999999999603915,1039.80078125,0.78125,False
9,0.0009340000000008786,1051.26953125,0.390625,False
10,0.0005050000000039745,1057.6943359375,0.1953125,False
11,0.0005029999999948132,1061.251953125,0.09765625,False
12,0.0010580000000004475,1063.203125,0.048828125,False
13,0.0012210000000010268,1064.228271484375,0.0244140625,False
14,0.001955000000009477,1064.753173828125,0.01220703125,False
15,0.0011180000000052814,1065.015625,0.006103515625,False
16,0.0008420000000057826,1065.1468505859375,0.0030517578125,False
17,0.001669000000006804,1065.2124633789062,0.00152587890625,False
18,0.0005830000000059954,1065.2452697753906,0.000762939453125,False
19,0.0012299999999925149,1065.2616729736328,0.0003814697265625,False
20,0.0008509999999972706,1065.269874572754,0.00019073486328125,False
21,0.0005589999999955353,1065.2739753723145,9.5367431640625e-05,False
22,0.000853000000006432,1065.2760257720947,4.76837158203125e-05,False
23,0.0004950000000008004,1065.2770509719849,2.384185791015625e-05,False
24,0.0005050000000039745,1065.27756357193,1.1920928955078125e-05,False
25,0.0007169999999945276,1065.2778198719025,5.9604644775390625e-06,True
