steps,time,reward,delta,converged
1,0.00024700000000166256,0.5333181500000002,0.7981329000000001,False
2,0.0002119999999976585,1.1148360778125004,0.3188369250000001,False
3,0.0002059999999985962,1.410953623760391,0.13908316384375005,False
4,0.00020699999999607144,1.4524823194224215,0.01910956584312501,False
5,0.00020699999999607144,1.4566192404749303,0.002077801628681847,False
6,0.00020600000000570162,1.4568802559527798,0.00021293321588451253,False
7,0.0002059999999985962,1.4568724747912793,6.1020997177481384e-05,False
8,0.0002080000000006521,1.4568546817696229,2.8605449208529005e-05,False
9,0.000256000000000256,1.4568442824032743,1.346691087332659e-05,False
10,0.0002819999999985612,1.4568388470122446,6.373187255399176e-06,True
