steps,time,reward,delta,converged
1,0.0009639999999961901,0.06837673859375082,0.6995000000000001,False
2,0.000821000000001959,0.40828256134107865,0.27410925,False
3,0.000853000000006432,0.7038442856502196,0.10964370000000001,False
4,0.0008430000000032578,0.7687392011414098,0.028669353005223466,False
5,0.000996000000000663,0.8044853676298681,0.01162206885838753,False
6,0.0014330000000057908,0.8234266031876849,0.005185831788873669,False
7,0.0017190000000084638,0.8326355394161753,0.002293210562904667,False
8,0.0031269999999921083,0.8375762271931844,0.0009903538659694067,False
9,0.0008930000000049176,0.8397707884595882,0.0004406674250187776,False
10,0.0007800000000059981,0.8406703471985267,0.00019971249587813315,False
11,0.0007679999999936626,0.8410223224042097,9.756859833406732e-05,False
12,0.0007959999999940237,0.8411767491818982,4.4591124009604743e-05,False
13,0.0008800000000093178,0.8412527264336255,1.9967753012229902e-05,False
14,0.0014780000000058635,0.8412911463303492,8.835063075069913e-06,True
