episode,length,time,reward,delta
0,1.0,0.00022000000001298758,-1.005,-1.0002456337358865
1,10.0,0.0006630000000313885,-1.05,-0.9991749601207279
2,7.0,0.0004759999999919273,-1.035,-0.999714102587783
3,11.0,0.0007019999999897664,-1.055,-1.0001905086207545
4,2.0,0.000183999999990192,-1.01,-0.9985943169666677
5,23.0,0.0015220000000226719,-1.115,-0.8997426923290047
6,35.0,0.0021090000000185682,-1.175,-0.8097684230961042
7,22.0,0.0014180000000010295,-1.11,-0.9962755146870251
8,6.0,0.0009019999999964057,-1.03,-0.996801564653376
9,4.0,0.0013079999999945358,-1.02,-0.9965656175454297
10,17.0,0.0034959999999841784,0.915,0.9995854232263491
11,23.0,0.00423900000004096,-1.115,-0.9994262190065316
12,6.0,0.0009170000000153777,-1.03,-0.9993025680749129
13,35.0,0.00260299999996505,-1.175,-0.9999550058628061
14,4.0,0.0005490000000349937,-1.02,-0.9996954422297771
15,3.0,0.00027899999997771374,-1.015,-0.7287915807864938
16,17.0,0.0010610000000497166,-1.085,-0.6559124227078444
17,7.0,0.0008140000000480541,-1.035,-0.9990087526100145
18,2.0,0.0003309999999601132,-1.01,-0.8992574641086551
19,13.0,0.0043100000000322325,-1.065,-0.5903211804370601
20,6.0,0.001076999999952477,-1.03,-0.9995992902925992
21,4.0,0.0010850000000459659,-1.02,-0.9994817323138631
22,22.0,0.0046050000000263935,-1.11,-0.8997258980067995
23,9.0,0.0007009999999922911,-1.045,-0.9064246267991527
24,12.0,0.0007449999999948886,-1.06,-0.9510445538236808
25,20.0,0.0012670000000412074,-1.1,-0.5312890623933539
26,25.0,0.0036119999999755237,-1.125,-0.9145599549804916
27,7.0,0.0007410000000049877,-1.035,-0.9002210703622978
28,8.0,0.0011649999999576721,-1.04,-0.8093317176977897
29,8.0,0.0010399999999890497,-1.04,-0.8993723112674217
30,27.0,0.0017619999999851643,-1.135,-0.9858000966371657
31,35.0,0.0021550000000161162,-1.175,-0.47816015615401863
32,12.0,0.0008570000000531763,-1.06,-0.9995986750662309
33,7.0,0.00045099999999820284,0.965,0.8996268809037142
34,110.0,0.00742200000001958,-1.5500000000000003,-0.935925141609635
35,6.0,0.0004020000000082291,-1.03,-0.9974536281589389
36,9.0,0.0005590000000097461,-1.045,-0.828434019123345
37,20.0,0.0011569999999778702,-1.1,-0.8475694812630403
38,23.0,0.001320999999961714,0.885,0.8291985780225558
39,10.0,0.0006070000000022446,0.95,0.7493194990617638
40,9.0,0.0005549999999630018,-1.045,-0.9991718916289604
41,7.0,0.00044700000000830187,0.965,0.6743875491555874
42,5.0,0.0003370000000018081,-1.025,-0.9372839504585376
43,10.0,0.0006079999999997199,-1.05,-0.7455906172110105
44,18.0,0.0010770000000093205,0.91,0.6069487942400287
45,37.0,0.002288000000021384,-1.185,-0.9095922584321644
46,13.0,0.0008119999999962602,-1.065,-0.9886843586929048
47,8.0,0.0005019999999831271,0.96,0.5908036533778995
48,9.0,0.0005550000000198452,0.955,0.5317232880401096
49,3.0,0.00022899999999026477,-1.015,-0.6710315554899094
50,14.0,0.0008270000000152322,-1.07,-0.6039283999409185
51,12.0,0.0012890000000425061,0.9400000000000001,0.5319708868610188
52,10.0,0.0010800000000017462,-1.05,-1.046956348044044
53,3.0,0.00034800000003087916,-1.015,-0.9078724688710441
54,60.0,0.0033619999999814354,-1.3000000000000003,-0.8987397158480832
55,4.0,0.00028300000002445813,-1.02,-0.5435355599468267
56,41.0,0.002288000000021384,-1.205,-0.8186330325889479
57,9.0,0.0005540000000223699,0.955,0.47877379817491694
58,7.0,0.0004450000000133514,0.965,0.4308964183574252
59,30.0,0.0018929999999954816,0.85,0.3878067765216827
60,19.0,0.0011580000000321888,0.905,0.3490260988695144
61,11.0,0.0007200000000011642,-1.055,-0.48918200395214406
62,26.0,0.001864999999952488,0.87,0.3141234889825629
63,21.0,0.0016719999999850188,0.895,0.28271114008430664
64,8.0,0.0010450000000332693,-1.04,-0.4402638035569296
65,47.0,0.0027140000000258624,0.7649999999999999,0.254440026075876
66,8.0,0.0005060000000298714,0.96,0.2289960234682884
67,12.0,0.0007200000000011642,0.9400000000000001,0.20609642112145954
68,18.0,0.0010970000000156688,0.91,0.18548677900931354
69,12.0,0.0007170000000087384,0.9400000000000001,0.16693810110838214
70,21.0,0.0013360000000375294,-1.105,-0.39623742320123667
71,18.0,0.001048000000025695,0.91,0.15024429099754388
72,12.0,0.0007190000000036889,-1.06,-1.0986793150097147
73,81.0,0.004947000000015578,0.5949999999999998,0.13521986189778945
74,51.0,0.0033359999999902357,0.7449999999999999,0.1216978757080105
75,58.0,0.0033730000000105065,-1.29,-0.7367697293300532
76,57.0,0.0033370000000445543,-1.2850000000000001,-0.8170852219839397
77,101.0,0.007245000000011714,0.49499999999999966,0.1189363732995039
78,40.0,0.002444000000025426,-1.2000000000000002,-0.8423326274486715
79,27.0,0.0015459999999620777,-1.135,-0.4751620798153293
80,105.0,0.006968000000028951,-1.5250000000000004,-0.42764587183379643
81,59.0,0.0039979999999673055,-1.2950000000000002,-0.48607368371242654
82,5.0,0.0005759999999668253,-1.025,-0.3848812846504168
83,136.0,0.00918899999999212,0.3199999999999995,0.10704273596955349
84,28.0,0.0017330000000015389,0.86,0.10587864379253864
85,37.0,0.002261999999973341,-1.185,-1.0436066611832933
86,42.0,0.0032819999999560423,-1.2100000000000002,-0.34639315618537514
87,171.0,0.009723000000008142,-1.8550000000000006,-0.9491960192060549
88,13.0,0.0007749999999759893,-1.065,-0.43746631534118385
89,102.0,0.00707900000003292,-1.5100000000000002,-0.31175384056683764
90,86.0,0.004704000000003816,-1.4300000000000002,-0.6630927563970479
91,66.0,0.0036719999999945685,-1.33,-0.2805784565101539
92,208.0,0.012620000000026721,-2.04,-0.25252061085913846
93,220.0,0.013576999999997952,-0.09999999999999853,0.09529077941328479
94,11.0,0.0006699999999568718,0.9450000000000001,0.08576170147195628
95,64.0,0.0038569999999822357,0.6799999999999998,0.07718553132476069
96,171.0,0.010856999999987238,0.14499999999999935,0.06946697819228465
97,36.0,0.002016999999966629,0.82,0.1433444828590631
98,13.0,0.0007709999999860884,0.935,0.12901003457315674
99,69.0,0.004021000000022923,0.6549999999999998,0.11610903111584103
100,128.0,0.00826200000000199,0.35999999999999954,0.10449812800425695
101,245.0,0.015041999999994005,-0.22499999999999587,0.09404831520383128
102,32.0,0.0020609999999692263,0.84,0.0846434836834482
103,62.0,0.0035269999999627544,-1.31,-0.3078065578875129
104,19.0,0.0010889999999790234,0.905,0.07617913531510334
105,141.0,0.008773000000019238,0.2949999999999995,0.06856122178359303
106,38.0,0.0022559999999884894,-1.1900000000000002,-0.27702590209876155
107,54.0,0.003321999999968739,-1.27,-0.9826372591902858
108,26.0,0.0014820000000099753,0.87,0.06170509960523374
109,255.0,0.015187000000025819,-0.2749999999999948,0.055534589644710364
110,8.0,0.0005089999999654538,-1.04,-0.5967834807573431
111,46.0,0.002556999999967502,0.7699999999999999,0.04998113068023935
112,9.0,0.0005520000000274194,0.955,0.05503675347975978
113,7.0,0.00044400000001587614,0.965,0.04953307813178376
114,38.0,0.0023449999999911597,0.8099999999999999,0.04457977031860538
115,35.0,0.0028989999999566862,-1.175,-1.2112882390925284
116,17.0,0.0013559999999870342,0.915,0.1173114442404164
117,23.0,0.0013159999999743377,0.885,0.10558029981637473
118,21.0,0.0013119999999844367,0.895,0.09502226983473727
119,19.0,0.001102000000003045,0.905,0.08552004285126358
120,7.0,0.00044400000001587614,0.965,0.07696803856613721
121,9.0,0.0005720000000337677,0.955,0.06927123470952345
122,54.0,0.0030479999999784013,0.7299999999999999,0.06234411123857109
123,80.0,0.0052299999999831925,0.5999999999999998,0.056109700114713945
124,48.0,0.004147000000045864,0.7599999999999999,0.05049873010324257
125,8.0,0.0005050000000323962,0.96,0.04544885709291835
126,32.0,0.0019540000000120017,0.84,0.10894230443877195
127,12.0,0.0007270000000403343,0.9400000000000001,0.09804807399489479
128,10.0,0.0006149999999820466,0.95,0.08824326659540527
