episode,length,time,reward,delta
0,42.0,0.002737999999681051,-1.2100000000000002,-1.0
1,57.0,0.0034420000001773587,-1.2850000000000001,-1.0
2,26.0,0.0016660000001138542,-1.1300000000000001,-1.0
3,8.0,0.0006319999997685954,-1.04,-0.9
4,26.0,0.0019239999996898405,-1.1300000000000001,-0.9995
5,19.0,0.001908000000184984,-1.095,-1.0
6,50.0,0.0034399999999550346,-1.25,-1.0
7,13.0,0.0008039999997890845,-1.065,-1.0
8,73.0,0.004368999999769585,-1.3650000000000002,-1.0
9,20.0,0.001231000000188942,-1.1,-0.99905
10,4.0,0.00029700000004595495,-1.02,-0.999045
11,42.0,0.003000000000156433,-1.2100000000000002,-1.0
12,21.0,0.0021179999998821586,-1.105,-1.0
13,12.0,0.0007430000000567816,-1.06,-1.0
14,84.0,0.005208000000038737,-1.4200000000000004,-0.99864
15,10.0,0.0007759999998597777,-1.05,-0.8991405
16,61.0,0.0035510000002432207,-1.3050000000000002,-1.0
17,8.0,0.0005639999999402789,-1.04,-0.99949495
18,63.0,0.004910999999992782,-1.3150000000000002,-0.9978890422257657
19,51.0,0.003246000000217464,-1.2550000000000001,-1.0
20,27.0,0.0016999999998006388,-1.135,-0.9975965069579679
21,18.0,0.0010809999998855346,-1.09,-0.9995
22,52.0,0.002959999999802676,-1.2600000000000002,-0.9995
23,11.0,0.0007270000000971777,-1.055,-0.99903631
24,103.0,0.007668000000194297,-1.5150000000000003,-0.9973045437785355
25,18.0,0.0013450000001284934,-1.09,-0.9995
26,47.0,0.003046000000267668,-1.235,-0.9
27,14.0,0.0008600000001024455,-1.07,-0.9
28,150.0,0.00958600000012666,-1.7500000000000004,-0.995852831096368
29,91.0,0.0052650000002358865,-1.4550000000000003,-0.9985997970839211
30,42.0,0.002484999999978754,-1.2100000000000002,-0.9963583936679811
31,36.0,0.003539000000273518,-1.1800000000000002,-0.9972741114139103
32,108.0,0.0064940000002025045,-1.5400000000000005,-0.9986111045031563
33,46.0,0.002729999999701249,-1.2300000000000002,-0.9
34,19.0,0.0011309999999866704,-1.095,-0.9090393383570228
35,90.0,0.0066520000000309665,-1.4500000000000002,-1.0
36,47.0,0.0032969999997476407,-1.235,-0.9087254495
37,88.0,0.0049340000000484,-1.4400000000000004,-1.0
38,53.0,0.004147999999986496,-1.2650000000000001,-0.9
39,88.0,0.005497999999988679,-1.4400000000000004,-0.9995
40,181.0,0.012154000000009546,-1.9050000000000007,-0.9318780671860762
41,110.0,0.007441000000198983,-1.5500000000000003,-0.81
42,144.0,0.009912999999869498,-1.7200000000000006,-0.9995
43,244.0,0.015514000000166561,-2.219999999999996,-0.8092264499999999
44,28.0,0.0017109999998865533,-1.1400000000000001,-1.0
45,37.0,0.002676999999948748,-1.185,-0.964680929628157
46,111.0,0.006731999999828986,-1.5550000000000004,-0.99905
47,465.0,0.02885500000002139,-3.3249999999999726,-1.0
48,26.0,0.0015330000001085864,-1.1300000000000001,-1.0
49,201.0,0.013874000000214437,-2.005000000000001,-0.9429763914714953
50,176.0,0.011782000000039261,-1.8800000000000008,-0.9486562290391223
51,286.0,0.01795700000002398,-2.4299999999999917,-1.0
52,150.0,0.010148000000299362,-1.7500000000000004,-0.9270973498477454
53,480.0,0.03163799999992989,-3.399999999999971,-0.9968430192984067
54,203.0,0.011930000000120344,-2.0150000000000006,-0.9995
55,371.0,0.024007999999867025,-0.8549999999999824,1.0
56,531.0,0.033801000000039494,-3.6549999999999656,-1.0
57,285.0,0.017999000000145315,-2.424999999999992,-0.99904045
58,76.0,0.0042789999997694395,-1.3800000000000003,-0.999023880924805
59,168.0,0.011158000000250468,-1.8400000000000007,-0.9953850846551399
60,33.0,0.0018979999999828578,-1.165,-0.9944700753880199
61,135.0,0.008975000000191358,-1.6750000000000005,-0.99905
62,560.0,0.03668100000004415,-1.7999999999999625,0.9095
63,95.0,0.005788999999822408,-1.4750000000000003,-1.0
64,60.0,0.003762000000278931,-1.3000000000000003,-0.9965231060392405
65,545.0,0.0354549999997289,-1.7249999999999641,0.81855
66,243.0,0.015939999999773136,-2.2149999999999963,-0.9956005387307312
67,92.0,0.005368999999973312,-1.4600000000000004,-0.9995
68,68.0,0.003794000000198139,-1.3400000000000003,-1.0
69,568.0,0.037986999999702675,-1.8399999999999617,0.736695
70,250.0,0.015877000000273256,-2.2499999999999956,-1.0
71,311.0,0.018469999999979336,-2.554999999999989,-1.0
72,57.0,0.003517000000101689,-1.2850000000000001,-0.9113649246877411
73,125.0,0.007609000000229571,0.37499999999999956,0.6630255
74,31.0,0.0027989999998681014,-1.155,-0.9995
75,340.0,0.02162399999997433,-2.699999999999986,-0.99905
76,140.0,0.009606999999959953,-1.7000000000000006,-1.00532348655
77,84.0,0.0054799999998067506,-1.4200000000000004,-0.9973496136792702
78,133.0,0.00774600000022474,0.3349999999999995,0.59672295
79,57.0,0.004707000000053085,0.7149999999999999,0.537050655
80,171.0,0.010103000000071916,-1.8550000000000006,-0.8343876148629709
81,160.0,0.010555000000294967,-1.8000000000000007,-1.0
82,38.0,0.002140999999937776,0.8099999999999999,0.48334558949999995
83,272.0,0.01634199999989505,-0.359999999999993,0.4350110305499999
84,176.0,0.011599999999816646,0.11999999999999933,0.3915099274949999
85,242.0,0.01414599999998245,-0.2099999999999962,0.35235893474549995
86,141.0,0.00808099999994738,0.2949999999999995,0.3171230412709499
87,98.0,0.006894000000102096,-1.4900000000000002,-1.714589262856145
88,201.0,0.012195999999676133,-2.005000000000001,-1.5431303365705307
89,567.0,0.03508899999997084,-3.8349999999999618,-1.3888173029134774
90,138.0,0.00828799999999319,0.3099999999999995,0.7730586289138619
91,117.0,0.007842999999866151,0.4149999999999996,0.6957527660224757
92,105.0,0.0059609999998428975,0.47499999999999964,0.6261774894202281
93,49.0,0.002846999999746913,-1.245,-1.4364402595217947
94,175.0,0.011501999999836698,0.12499999999999933,0.7072037664303847
95,127.0,0.007263999999850057,0.36499999999999955,0.6364833897873463
96,120.0,0.009498000000348839,-1.6000000000000005,-1.4271649491913885
97,84.0,0.004857999999785534,0.5799999999999997,0.7155515457277505
98,229.0,0.013948000000254979,-0.14499999999999758,0.6439963911549754
99,59.0,0.003361999999924592,-1.2950000000000002,-1.4204032479605222
100,165.0,0.010401000000001659,-1.8250000000000006,-1.0
101,377.0,0.023381999999855907,-0.8849999999999818,0.72163707683553
102,157.0,0.009099000000333035,0.2149999999999994,0.6494733691519771
103,165.0,0.010819999999966967,0.17499999999999938,0.5845260322367793
104,95.0,0.00551099999984217,0.5249999999999997,0.5260734290131014
